company_name,domain,sector,employee_band,country,hq_city,annual_revenue_band,founded_year,funding_stage,crm_platform,monthly_ad_spend_band,ad_platforms,is_hiring,open_roles,emitted_domain,domain_in_companies_csv
Heron Stores BV,heron-stores.example,Retail,1-10,NL,Rotterdam,under £1m,2009,Seed,No CRM,under £5k,"[""Google Ads""]",False,0,heron-stores.example,True
Granite Academy Inc,granite-academy.example,Education,1-10,US,San Francisco,under £1m,2017,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",True,2,granite-academy.example,True
Kingsway Recruitment Ltd,kingsway-recruitment.example,Professional services,51-200,UK,London,£10m-£50m,2005,Series B,Spreadsheet,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",True,9,kingswayrecr-group.example,False
Ivywood Components Inc,ivywood-components.example,Manufacturing,11-50,US,Boston,£1m-£10m,2024,Bootstrapped,Salesforce,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",True,3,ivywood-components.example,True
Vantage Shipping Inc,vantage-shipping.example,Logistics,11-50,US,Seattle,£1m-£10m,2009,Bootstrapped,Spreadsheet,under £5k,"[""Microsoft Ads""]",False,0,vantage-shipping.example,True
Riverside Haulage Inc,riverside-haulage.example,Logistics,1-10,US,Boston,under £1m,2015,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",False,0,riverside-haulage.example,True
Redwood Legal BV,redwood-legal.example,Professional services,1-10,NL,Rotterdam,under £1m,1996,Bootstrapped,No CRM,none,[],False,0,redwood-legal.example,True
Kestrel Market Ltd,kestrel-market.example,Retail,201-1000,UK,London,£50m-£250m,1985,Bootstrapped,Salesforce,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,23,kestrelmark-group.example,False
Pinecrest Medical GmbH,pinecrest-medical.example,Healthcare,201-1000,DE,Munich,£50m-£250m,1993,Bootstrapped,HubSpot,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,20,pinecrest-medical.example,True
Redwood Trading Inc,redwood-trading.example,Retail,51-200,US,Chicago,£50m-£250m,2010,Series A,Salesforce,none,[],True,9,redwood-trading.example,True
Nimbus Pharma Inc,nimbus-pharma.example,Healthcare,1-10,US,Chicago,under £1m,1995,Bootstrapped,No CRM,none,[],False,0,nimbus-pharma.example,True
Dovecote Dental Ltd,dovecote-dental.example,Healthcare,201-1000,UK,Leeds,£50m-£250m,2021,Private equity,HubSpot,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,27,dovecote-dental.example,True
Granite Clinics Inc,granite-clinics.example,Healthcare,1-10,US,Chicago,under £1m,2008,Bootstrapped,No CRM,none,[],False,0,graniteclin-group.example,False
Pennine Accountants Inc,pennine-accountants.example,Professional services,1000+,US,Austin,£50m-£250m,2016,Series C+,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,65,pennineacco-group.example,False
Greystone Fabrication Ltd,greystone-fabrication.example,Manufacturing,51-200,UK,London,£10m-£50m,2016,Series B,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0,greystonefabr-group.example,False
Thornbury Industries Inc,thornbury-industries.example,Manufacturing,1-10,US,Boston,under £1m,2010,Bootstrapped,No CRM,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0,thornbury-industries.example,True
Thornbury Dental Inc,thornbury-dental.example,Healthcare,201-1000,US,San Francisco,£50m-£250m,2006,Series B,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",True,27,thornbury-dental.example,True
Kelvin Freight SAS,kelvin-freight.example,Logistics,201-1000,FR,Paris,£50m-£250m,2000,Series B,No CRM,£5k-£25k,"[""Meta Ads"", ""TikTok Ads""]",True,27,kelvin-freight.example,True
Granite Couriers Ltd,granite-couriers.example,Logistics,1-10,UK,Edinburgh,under £1m,1997,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",True,3,granitecour-group.example,False
Fernhill Learning GmbH,fernhill-learning.example,Education,11-50,DE,Berlin,under £1m,2011,Seed,Pipedrive,under £5k,"[""Microsoft Ads""]",False,0,fernhill-learning.example,True
Stonebridge Legal SAS,stonebridge-legal.example,Professional services,1-10,FR,Lille,under £1m,2011,Bootstrapped,HubSpot,under £5k,"[""Meta Ads""]",True,2,stonebridge-legal.example,True
Jasper Tutors Inc,jasper-tutors.example,Education,1-10,US,Chicago,under £1m,2009,Seed,HubSpot,under £5k,"[""Meta Ads""]",False,0,jasper-tutors.example,True
Fernhill Market Inc,fernhill-market.example,Retail,11-50,US,Seattle,£10m-£50m,1996,Bootstrapped,Pipedrive,under £5k,"[""Google Ads""]",False,0,fernhill-market.example,True
Tidewater Care Ltd,tidewater-care.example,Healthcare,51-200,UK,Edinburgh,£10m-£50m,2009,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,5,tidewater-care.example,True
Pennine Tutors Ltd,pennine-tutors.example,Education,1-10,UK,Leeds,under £1m,2019,Bootstrapped,Spreadsheet,under £5k,"[""LinkedIn Ads""]",True,1,penninetuto-group.example,False
Ironbridge Outfitters GmbH,ironbridge-outfitters.example,Retail,11-50,DE,Frankfurt,£1m-£10m,2002,Series A,Pipedrive,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0,ironbridge-outfitters.example,True
Upland Recruitment GmbH,upland-recruitment.example,Professional services,11-50,DE,Munich,£10m-£50m,2000,Series A,HubSpot,under £5k,"[""Meta Ads""]",False,0,uplandrecr-group.example,False
Aurora Accountants Ltd,aurora-accountants.example,Professional services,11-50,UK,Birmingham,£1m-£10m,2011,Seed,HubSpot,none,[],False,0,auroraacco-group.example,False
Greystone Retail BV,greystone-retail.example,Retail,51-200,NL,Eindhoven,£10m-£50m,2021,Bootstrapped,Salesforce,none,[],False,0,greystone-retail.example,True
Tidewater Health GmbH,tidewater-health.example,Healthcare,1-10,DE,Munich,under £1m,2016,Seed,Spreadsheet,under £5k,"[""Google Ads""]",False,0,tidewaterheal-group.example,False
Thornbury Finance Ltd,thornbury-finance.example,Financial services,11-50,UK,Leeds,£1m-£10m,2005,Seed,Pipedrive,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0,thornbury-finance.example,True
Quartz Partners BV,quartz-partners.example,Financial services,1-10,NL,Eindhoven,under £1m,2005,Bootstrapped,Spreadsheet,under £5k,"[""LinkedIn Ads""]",False,0,quartz-partners.example,True
Vantage Retail SAS,vantage-retail.example,Retail,201-1000,FR,Toulouse,£50m-£250m,1982,Series C+,Spreadsheet,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0,vantage-retail.example,True
Ashford Freight SAS,ashford-freight.example,Logistics,11-50,FR,Toulouse,£1m-£10m,2004,Bootstrapped,Spreadsheet,none,[],False,0,ashford-freight.example,True
Dunmore Wealth Inc,dunmore-wealth.example,Financial services,51-200,US,Austin,£10m-£50m,2001,Series B,Salesforce,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0,dunmoreweal-group.example,False
Oldfield Software GmbH,oldfield-software.example,Software,201-1000,DE,Munich,£50m-£250m,2018,Private equity,Salesforce,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",True,14,oldfieldsoft-group.example,False
Stonebridge Outfitters Ltd,stonebridge-outfitters.example,Retail,201-1000,UK,Edinburgh,£50m-£250m,2014,Private equity,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,stonebridge-outfitters.example,True
Umber Retail Ltd,umber-retail.example,Retail,1-10,UK,Leeds,under £1m,2009,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,umber-retail.example,True
Larkspur Engineering Ltd,larkspur-engineering.example,Manufacturing,1-10,UK,Bristol,under £1m,2014,Seed,HubSpot,none,[],False,0,larkspur-engineering.example,True
Willow Lending GmbH,willow-lending.example,Financial services,201-1000,DE,Munich,£50m-£250m,1987,Public,Salesforce,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0,willow-lending.example,True
Saltmarsh College GmbH,saltmarsh-college.example,Education,201-1000,DE,Hamburg,£50m-£250m,1996,Series C+,Pipedrive,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0,saltmarsh-college.example,True
Valley Accountants Ltd,valley-accountants.example,Professional services,1-10,UK,Leeds,under £1m,2001,Seed,Spreadsheet,under £5k,"[""LinkedIn Ads""]",False,0,valley-accountants.example,True
Pennine Software Ltd,pennine-software.example,Software,1-10,UK,London,under £1m,2006,Bootstrapped,HubSpot,under £5k,"[""LinkedIn Ads""]",False,0,pennine-software.example,True
Aurora Legal Ltd,aurora-legal.example,Professional services,201-1000,UK,Birmingham,£50m-£250m,2022,Series B,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,24,auroralega-group.example,False
Cedar Associates Ltd,cedar-associates.example,Professional services,1000+,UK,Edinburgh,£250m+,1998,Bootstrapped,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads""]",True,55,cedar-associates.example,True
Quayside College Ltd,quayside-college.example,Education,1-10,UK,Leeds,under £1m,2019,Bootstrapped,Pipedrive,under £5k,"[""Meta Ads""]",False,0,quayside-college.example,True
