lead_id,is_real_business,persona,problem_specificity,urgency,brief_fit,reason,status,error,card_hash,brief_hash,prompt_version,model_id
L00010,yes,job_seeker,specific,this_quarter,none,"Real company with concrete tracking problem, but person is between roles and asking about hiring—job seeker, not buyer.",ok,,d3cf752defb02226943e773fea16913ad309135581e7752d86423c90c4f8bfd7,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00033,yes,vendor,specific,this_quarter,none,"Vendor selling SEO services, not a buyer of lead scoring. Wrong persona for EMVA.",ok,,b9936c48ded113ad07f47a135227a805d9e00ead5cec71aeb24ff646d8fa32e4,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00036,no,unclear,specific,none,none,"No company name, blank job title, iCloud email domain. Cannot verify real business or paid ad spend.",ok,,cc88ad6099e512f4b14d79d9352ec09af8309d3517bbab215932b683f76cfb10,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00041,yes,competitor,specific,this_quarter,none,"Competitor in scoring vendor space seeking comparison, not a buyer evaluating for their own sales process.",ok,,786e5ed86206be93daf254fa2dc4203296f634f1d04c57783299db1f000d4a18,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00048,unclear,buyer,vague,none,weak,Generic request for information with no specific problem stated. Cannot verify if Brightwater advertises or has lead quality issues.,ok,,49dd1727d63f992dc13131ddd38c26904d180a1a8c0fbd12179566f7e3d949c9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00050,yes,buyer,specific,now,strong,"Demand Gen Manager at healthcare company reporting poor lead quality from Meta ads. Clear attribution problem, right buyer persona, real business.",ok,,ca99423be6ae21e7c0906d4483e2cbb8681b02f66006b67985e7fc136cfe8d27,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00051,yes,buyer,specific,this_quarter,strong,"Real lending company with concrete conversion tracking problem, June deadline, 49 marketers suggest significant ad spend and sales operation.",ok,,4ac616c410cf30df8aa8d690d0b7bd1ced0e4733538505d93c3dc2c87d7547dd,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00054,no,unclear,unrelated,none,none,"No company name, no problem statement, gmail email. Cannot verify real business or buying intent.",ok,,ad717375aecca1b892de9f2d782e01263f32cecb29ea1753bbc0112a211cad11,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00072,yes,buyer,specific,this_quarter,partial,"Real company with concrete lead scoring problem and Q-end deadline. But SDR-focused suggests internal process, not ad-to-revenue tracking via paid ads.",ok,,51195a45fd4d6054c93b1ae1977902ecf21138b46a26d6a94a3c1dad5de4ebca,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00081,unclear,unclear,vague,none,none,"Greeting only, no problem stated. Cannot assess fit or intent from 'hello there' alone.",ok,,c1be78fc6c91da3af3ab2eb28b7e13fb61c4cc236f0f08959005c365ba3a8cee,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00082,unclear,nonprofit,specific,this_quarter,none,"Nonprofit seeking contract renewal, but Elmstead Stores appears commercial. Mismatch between company type and stated nonprofit status unclear.",ok,,7616ff6b983dae8e6a1f88a70cada3346b0146a2fc12804f184f6ca852d5cfd4,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00088,unclear,job_seeker,vague,this_quarter,none,"Claims to be CEO but seeks employment. Mentions ad tracking but primary intent is job inquiry, not buying.",ok,,41571543f6a9396417c1353f81b94f941cee3bb6dee8f5eb32f26eadf97e8f71,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00091,yes,buyer,specific,researching,partial,"Real recruitment firm with CRM-to-ads integration need, but recruitment lead quality differs from typical B2B SaaS buyer profile.",ok,,63f65b1452b053e1bd67d10c50d45906cd84bfac6c36b09690e330edb18a6138,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
