company_name,domain,sector,employee_band,country,hq_city,annual_revenue_band,founded_year,funding_stage,crm_platform,monthly_ad_spend_band,ad_platforms,is_hiring,open_roles
Ashford Health Inc,ashford-health.example,Healthcare,11-50,US,New York,£1m-£10m,1996,Bootstrapped,HubSpot,none,[],False,0
Kelvin Goods SAS,kelvin-goods.example,Retail,1-10,FR,Lyon,under £1m,2022,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Yarrow Manufacturing Ltd,yarrow-manufacturing.example,Manufacturing,11-50,UK,London,under £1m,2011,Bootstrapped,Pipedrive,none,[],False,0
Driftwood Freight GmbH,driftwood-freight.example,Logistics,201-1000,DE,Hamburg,£50m-£250m,1989,Private equity,Spreadsheet,£5k-£25k,"[""Meta Ads"", ""TikTok Ads""]",False,0
Hawthorn Fabrication Ltd,hawthorn-fabrication.example,Manufacturing,1000+,UK,Manchester,£250m+,1996,Private equity,Pipedrive,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,70
Juniper Data Ltd,juniper-data.example,Software,1-10,UK,Edinburgh,under £1m,2015,Bootstrapped,Pipedrive,none,[],False,0
Heron Finance Inc,heron-finance.example,Financial services,201-1000,US,Boston,£50m-£250m,1965,Series C+,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",True,9
Elmstead Software Inc,elmstead-software.example,Software,51-200,US,Chicago,£10m-£50m,2020,Seed,Salesforce,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Aurora Labs Inc,aurora-labs.example,Software,1-10,US,San Francisco,under £1m,2002,Bootstrapped,Spreadsheet,under £5k,"[""Google Ads""]",False,0
Oakridge Partners Ltd,oakridge-partners.example,Financial services,1-10,UK,London,under £1m,2004,Bootstrapped,Spreadsheet,none,[],False,0
Oldfield Software Inc,oldfield-software.example,Software,1-10,US,Seattle,under £1m,2000,Bootstrapped,HubSpot,none,[],False,0
Valley Care Ltd,valley-care.example,Healthcare,1-10,UK,Manchester,under £1m,2018,Bootstrapped,HubSpot,under £5k,"[""Microsoft Ads""]",False,0
Clearwater Cloud BV,clearwater-cloud.example,Software,51-200,NL,Eindhoven,£10m-£50m,2020,Series A,No CRM,£5k-£25k,"[""Meta Ads"", ""TikTok Ads""]",False,0
Ashford Industries Ltd,ashford-industries.example,Manufacturing,11-50,UK,Leeds,£1m-£10m,1998,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Alder Partners SAS,alder-partners.example,Financial services,201-1000,FR,Toulouse,£250m+,2004,Private equity,Salesforce,£5k-£25k,"[""Google Ads"", ""TikTok Ads""]",False,0
Nimbus Legal Inc,nimbus-legal.example,Professional services,11-50,US,New York,£1m-£10m,1997,Series A,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Keystone Manufacturing SAS,keystone-manufacturing.example,Manufacturing,11-50,FR,Lille,£1m-£10m,2011,Bootstrapped,Pipedrive,none,[],False,0
Zephyr Stores Inc,zephyr-stores.example,Retail,11-50,US,Chicago,£1m-£10m,2015,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Highgate Care Ltd,highgate-care.example,Healthcare,51-200,UK,London,£10m-£50m,2003,Series A,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,13
Dunmore Couriers GmbH,dunmore-couriers.example,Logistics,51-200,DE,Munich,£10m-£50m,2002,Series A,Salesforce,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0
Harbour Shipping Ltd,harbour-shipping.example,Logistics,11-50,UK,Edinburgh,£1m-£10m,2014,Bootstrapped,Spreadsheet,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Dunmore Legal SAS,dunmore-legal.example,Professional services,51-200,FR,Lille,£10m-£50m,2016,Bootstrapped,Spreadsheet,none,[],False,0
Larkspur Retail Ltd,larkspur-retail.example,Retail,11-50,UK,Birmingham,£1m-£10m,2018,Seed,HubSpot,none,[],False,0
Northwind Associates Ltd,northwind-associates.example,Professional services,1-10,UK,Manchester,under £1m,2017,Seed,HubSpot,none,[],False,0
Pebble Dental Ltd,pebble-dental.example,Healthcare,11-50,UK,London,£1m-£10m,2015,Series A,Spreadsheet,under £5k,"[""Google Ads""]",True,3
Keystone Advisory BV,keystone-advisory.example,Professional services,11-50,NL,Utrecht,£1m-£10m,2009,Series B,HubSpot,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Larkspur Stores Ltd,larkspur-stores.example,Retail,1-10,UK,Bristol,£1m-£10m,2011,Bootstrapped,Pipedrive,under £5k,"[""Meta Ads""]",False,0
Northwind Data SAS,northwind-data.example,Software,201-1000,FR,Lille,£50m-£250m,1976,Private equity,HubSpot,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",True,16
Saltmarsh Tutors BV,saltmarsh-tutors.example,Education,201-1000,NL,Utrecht,£50m-£250m,1980,Series C+,No CRM,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",True,29
Hawthorn Care BV,hawthorn-care.example,Healthcare,201-1000,NL,Rotterdam,£50m-£250m,1968,Series B,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Ashford Learning Ltd,ashford-learning.example,Education,11-50,UK,Bristol,£1m-£10m,2012,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,7
Harbour Accountants Inc,harbour-accountants.example,Professional services,11-50,US,New York,£1m-£10m,2009,Series A,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Microsoft Ads""]",False,0
Northwind Academy Ltd,northwind-academy.example,Education,11-50,UK,London,£1m-£10m,2005,Series A,Spreadsheet,none,[],False,0
Emberly Lending Ltd,emberly-lending.example,Financial services,1-10,UK,Birmingham,under £1m,2017,Bootstrapped,Spreadsheet,under £5k,"[""Microsoft Ads""]",False,0
Vantage Dental SAS,vantage-dental.example,Healthcare,51-200,FR,Lille,£10m-£50m,2009,Series B,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,8
Vantage Goods Ltd,vantage-goods.example,Retail,51-200,UK,Manchester,£10m-£50m,2005,Seed,Spreadsheet,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0
Brightwater Insurance Ltd,brightwater-insurance.example,Financial services,11-50,UK,Leeds,£1m-£10m,1996,Series A,Salesforce,£5k-£25k,"[""Google Ads"", ""TikTok Ads""]",True,5
Quayside Fabrication Inc,quayside-fabrication.example,Manufacturing,201-1000,US,Seattle,£50m-£250m,1996,Series C+,Salesforce,none,[],True,23
Lindenwood Software Inc,lindenwood-software.example,Software,51-200,US,New York,£50m-£250m,1996,Seed,HubSpot,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0
Emberly Manufacturing Ltd,emberly-manufacturing.example,Manufacturing,11-50,UK,Bristol,under £1m,2009,Seed,Salesforce,none,[],False,0
Pebble Manufacturing Inc,pebble-manufacturing.example,Manufacturing,201-1000,US,Austin,£50m-£250m,1992,Private equity,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",True,25
Tamarind Data SAS,tamarind-data.example,Software,201-1000,FR,Lille,£10m-£50m,1971,Bootstrapped,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads""]",False,0
Stonebridge Legal Inc,stonebridge-legal.example,Professional services,11-50,US,Chicago,£1m-£10m,2024,Series A,HubSpot,under £5k,"[""LinkedIn Ads""]",True,5
Evergreen Legal BV,evergreen-legal.example,Professional services,1-10,NL,Eindhoven,under £1m,2022,Bootstrapped,No CRM,under £5k,"[""Google Ads""]",False,0
Juniper Medical Ltd,juniper-medical.example,Healthcare,1000+,UK,Bristol,£250m+,1982,Public,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Dovecote Associates BV,dovecote-associates.example,Professional services,201-1000,NL,Amsterdam,£50m-£250m,1980,Bootstrapped,Salesforce,under £5k,"[""TikTok Ads""]",False,0
Heron Medical BV,heron-medical.example,Healthcare,11-50,NL,Rotterdam,£1m-£10m,2016,Series A,Spreadsheet,under £5k,"[""Google Ads""]",False,0
Yarrow Medical BV,yarrow-medical.example,Healthcare,11-50,NL,Amsterdam,£1m-£10m,2024,Series A,Pipedrive,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,5
Keystone Labs Inc,keystone-labs.example,Software,201-1000,US,Seattle,£50m-£250m,1994,Series B,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Glenmoor Medical GmbH,glenmoor-medical.example,Healthcare,1-10,DE,Frankfurt,under £1m,1998,Seed,HubSpot,under £5k,"[""Microsoft Ads""]",False,0
Upland Freight Ltd,upland-freight.example,Logistics,201-1000,UK,Edinburgh,£50m-£250m,1967,Series B,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,18
Falcon Health BV,falcon-health.example,Healthcare,1-10,NL,Amsterdam,under £1m,2000,Bootstrapped,HubSpot,under £5k,"[""Meta Ads""]",False,0
Jasper Training BV,jasper-training.example,Education,1-10,NL,Amsterdam,under £1m,2021,Bootstrapped,Pipedrive,under £5k,"[""Meta Ads""]",True,1
Oakridge Labs BV,oakridge-labs.example,Software,11-50,NL,Amsterdam,£1m-£10m,2001,Seed,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Oakridge Goods GmbH,oakridge-goods.example,Retail,11-50,DE,Frankfurt,£1m-£10m,2020,Seed,Pipedrive,under £5k,"[""Google Ads""]",False,0
Tidewater Consulting Ltd,tidewater-consulting.example,Professional services,201-1000,UK,Birmingham,£50m-£250m,1979,Series C+,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,20
Kingsway Engineering Ltd,kingsway-engineering.example,Manufacturing,201-1000,UK,Manchester,£50m-£250m,1997,Bootstrapped,HubSpot,under £5k,"[""Meta Ads""]",False,0
Larkspur Couriers SAS,larkspur-couriers.example,Logistics,1-10,FR,Lille,under £1m,2010,Seed,HubSpot,£25k-£100k,"[""LinkedIn Ads"", ""Microsoft Ads"", ""TikTok Ads""]",False,0
Umber Dental Ltd,umber-dental.example,Healthcare,201-1000,UK,Birmingham,£50m-£250m,1985,Series B,Spreadsheet,under £5k,"[""Meta Ads""]",True,16
Fernhill Education Ltd,fernhill-education.example,Education,1-10,UK,London,£1m-£10m,2016,Bootstrapped,Spreadsheet,none,[],False,0
Orchard Training Ltd,orchard-training.example,Education,11-50,UK,Edinburgh,£1m-£10m,2000,Bootstrapped,HubSpot,under £5k,"[""LinkedIn Ads""]",False,0
Lantern Fabrication BV,lantern-fabrication.example,Manufacturing,51-200,NL,Utrecht,£10m-£50m,2010,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""TikTok Ads""]",True,9
Brightwater Stores SAS,brightwater-stores.example,Retail,1-10,FR,Paris,under £1m,2024,Bootstrapped,HubSpot,under £5k,"[""Microsoft Ads""]",True,1
Oldfield Tutors BV,oldfield-tutors.example,Education,1-10,NL,Rotterdam,under £1m,1995,Bootstrapped,Spreadsheet,under £5k,"[""LinkedIn Ads""]",True,2
Pennine Retail SAS,pennine-retail.example,Retail,1-10,FR,Lille,under £1m,2017,Bootstrapped,No CRM,none,[],False,0
Inkwell Software Ltd,inkwell-software.example,Software,51-200,UK,Leeds,£10m-£50m,2022,Series A,Pipedrive,£5k-£25k,"[""Google Ads"", ""TikTok Ads""]",False,0
Thornbury Haulage Ltd,thornbury-haulage.example,Logistics,201-1000,UK,Leeds,£50m-£250m,2016,Public,Salesforce,none,[],False,0
Northwind Goods Ltd,northwind-goods.example,Retail,1000+,UK,Bristol,£250m+,1982,Bootstrapped,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0
Kestrel Haulage SAS,kestrel-haulage.example,Logistics,11-50,FR,Lyon,under £1m,2019,Seed,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,4
Hawthorn Medical Ltd,hawthorn-medical.example,Healthcare,1-10,UK,Leeds,under £1m,2002,Bootstrapped,HubSpot,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0
Aurora Components Ltd,aurora-components.example,Manufacturing,51-200,UK,Birmingham,£10m-£50m,2011,Private equity,Spreadsheet,under £5k,"[""Meta Ads""]",True,12
Riverside Medical Ltd,riverside-medical.example,Healthcare,1-10,UK,Birmingham,under £1m,1995,Seed,HubSpot,none,[],False,0
Saltmarsh Cloud Ltd,saltmarsh-cloud.example,Software,201-1000,UK,Birmingham,£50m-£250m,2001,Bootstrapped,Salesforce,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Lindenwood Haulage Ltd,lindenwood-haulage.example,Logistics,11-50,UK,Manchester,£1m-£10m,2016,Bootstrapped,No CRM,none,[],False,0
Umber Insurance Inc,umber-insurance.example,Financial services,11-50,US,New York,£1m-£10m,2011,Bootstrapped,Pipedrive,£5k-£25k,"[""Microsoft Ads"", ""TikTok Ads""]",False,0
